0,Czersk,74-269,Torunska,201,47,Natolin
1,Chojnice,93-537,Popieluszki,287,55,Marsa
2,Wloclawek,31-077,Plater,205,40,Mlociny
3,Bydgoszcz,92-456,Szymanowskiego,292,47,Grodzisk
4,Mielec,06-496,Zamkowa,215,24,Praga-Poludnie
5,Czestochowa,09-826,Ogrodowa,247,13,Stara Milosna
6,Elblag,42-070,Graniczna,487,15,Ursus
7,Gardno,77-374,Topolowa,28,32,Targowek
8,Ketrzyn,73-519,Harcerska,343,78,Dolny Mokotow
9,Lodz,09-842,Pogodna,342,22,Ochota
10,Czorsztyn,71-550,Rynek,291,68,Dolny Mokotow
11,Swiecie,60-159,Kraszewskiego,86,13,Wesola
12,Szczecin,13-027,Sarnia,153,21,Wilcza
13,Glogow,12-048,Szczesliwa,171,12,Wierzbno
14,Lodz,56-397,Srodkowa,413,53,Muranow Poludniowy
15,Glogow,36-753,Spoldzielcza,262,36,Bemowo
16,Jaworzno,10-504,Prusa,442,16,Ursynow
17,Olsztyn,98-512,Jadwigi,380,75,Filtry
18,Frysztak,31-769,Wladyslawa Jagielly,285,60,Jelonki
19,Garwolin,51-784,Fabryczna,312,80,Stara Ochota
20,Dolice,69-977,Mostowa,429,58,Grodzisk
21,Bialystok,97-706,Walowa,322,51,Bielany
22,Klucze,51-815,Kamienna,248,44,Krowodrza
23,Czchow,84-914,Wodna,372,62,Czyste
24,Chocianow,79-643,Lelewela,278,71,Bemowo
25,Elblag,50-050,Rzeczna,33,45,Ksiecia Janusza
26,Mielec,59-047,Sportowa,124,19,Ksiecia Janusza
27,Dolice,53-346,Spoldzielcza,93,23,Kaskada
28,Ruda Slaska,41-672,Dobra,168,68,Stegny
29,Zabrze,63-275,Poludniowa,289,14,Targowek
30,Klobuck,88-975,Chelmonskiego,227,29,Pyry
31,Chelmiec,50-082,Dojazdowa,250,82,Wawer
32,Inowroclaw,22-501,Koralowa,273,47,Stare Miasto
33,Kutno,83-853,Slowackiego,33,12,Skarpa Powsinska
34,Swiecie,77-808,Perlowa,102,11,Witolin
35,Klucze,78-864,Dojazdowa,50,80,Lipiny
36,Ruda Slaska,87-328,Sarnia,484,63,Bartycka
37,Elblag,18-162,Wiosenna,453,15,Stara Ochota
38,Dubiecko,54-674,Morska,418,64,Bemowo
39,Torun,04-788,Mazowiecka,227,76,Bartycka
40,Czarna Woda,82-031,Krolewska,1,63,Kaweczyn
41,Choszczno,20-480,Stolarska,306,41,Koszyki
42,Glogow,56-909,Mlynska,164,12,Wierzbno
43,Kielce,95-877,Stroma,430,71,Grodzisk
44,Kutno,47-419,Srodkowa,58,20,Kozia
45,Swidnica,26-096,Waska,219,19,Lipiny
46,Swiebodzice,71-595,Majowa,391,22,Stara Milosna
47,Frysztak,15-238,Blekitna,173,43,Wrzeciono
48,Ciechocinek,41-088,Fiolkowa,6,41,Bemowo
49,Ciechanow,09-017,Kollataja,168,68,Wawer
50,Lodz,29-703,Morelowa,239,80,Olesinska
51,Garwolin,04-772,Glogowa,386,75,Siekierki
52,Gliwice,71-616,Kalinowa,383,63,Mlociny
53,Chojno,94-101,Jana Pawla II,20,54,Marsa
54,Klobuck,90-660,Orzechowa,487,60,Podgorze
55,Gdynia,66-959,Borowa,336,53,Czyste
56,Legnica,94-534,Lakowa,456,26,Wesola
57,Czerniejewo,31-841,Sikorskiego,443,36,Czerniakow
58,Bialystok,72-486,Handlowa,482,46,Michalowice
59,Inowroclaw,26-196,Lawendowa,204,54,Dolny Mokotow
60,Katowice,28-753,Modrzewiowa,210,19,Stara Milosna
61,Czestochowa,49-412,Boczna,325,80,Bartycka
62,Czarna Bialostocka,35-255,Szewska,348,26,Imielin
63,Garczegorze,85-059,Piwna,103,11,Kepa Tarchominska
64,Ruda Slaska,91-536,Miarki,401,24,Nowa Huta
65,Dubiecko,28-079,Szeroka,55,78,Wilanow
66,Czestochowa,59-700,Nadbrzezna,151,70,Kepa Tarchominska
67,Gizycko,67-242,Gdanska,380,35,Powisle
68,Kutno,65-137,Orkana,38,62,Praga-Polnoc
69,Klobuck,43-743,Jana III Sobieskiego,6,40,Wygledow
70,Gdynia,91-294,Graniczna,312,22,Targowek
71,Jarocin,95-723,Cisowa,285,47,Mokotow-Poludnie
72,Chorzow,95-609,Mila,202,61,Muranow Poludniowy
73,Tychy,80-039,Wilcza,252,60,Siekierki
74,Sosnowiec,17-334,Daszynskiego,377,54,Dolny Mokotow
75,Wroclaw,79-398,Podgorna,85,30,Kaweczyn
76,Folk,25-091,Agrestowa,426,17,Stare Miasto
77,Gostynin,07-705,Walowa,240,55,Goclaw
78,Ciechanow,93-580,Staffa,50,15,Wlochy
79,Dolice,32-270,Handlowa,93,70,Nadolnik
