0,,,,0
1,,,,1
2,,,,2
3,2021-04-18,2021-07-26,2021-04-15,3
4,,,,4
5,2021-05-29,2021-09-05,2021-05-27,5
6,,,,6
7,2021-07-26,2021-09-19,2021-07-22,7
8,,,,8
9,,,,9
10,2021-11-13,2022-04-18,2021-11-09,10
11,,,,11
12,,,,12
13,2021-03-01,2021-04-24,2021-02-28,13
14,,,,14
15,2021-07-06,2021-09-04,2021-07-02,15
16,2021-10-30,2021-12-04,2021-10-28,16
17,,,,17
18,,,,18
19,,,,19
20,2021-08-04,2021-12-22,2021-08-03,20
21,2021-10-07,2022-03-18,2021-10-05,21
22,,,,22
23,2021-03-06,2021-08-15,2021-03-06,23
24,2021-08-26,2021-11-11,2021-08-25,24
25,,,,25
26,,,,26
27,,,,27
28,2021-05-27,2021-08-31,2021-05-23,28
29,2021-09-22,2021-11-28,2021-09-20,29
30,2021-11-18,2022-02-26,2021-11-16,30
31,,,,31
32,2021-06-11,2021-10-09,2021-06-10,32
33,,,,33
34,2021-12-19,2022-02-23,2021-12-17,34
35,2021-06-15,2021-09-24,2021-06-14,35
36,2022-01-25,2022-02-28,2022-01-23,36
37,2021-07-29,2021-10-28,2021-07-27,37
38,2021-11-29,2022-02-18,2021-11-26,38
39,2021-03-24,2021-07-02,2021-03-21,39
40,2021-03-15,2021-06-30,2021-03-12,40
41,,,,41
42,2021-11-25,2021-12-28,2021-11-22,42
43,,,,43
44,,,,44
45,2021-11-22,2022-03-12,2021-11-19,45
46,2021-12-22,2022-05-21,2021-12-20,46
47,2021-11-19,2022-02-07,2021-11-18,47
48,2021-03-23,2021-05-19,2021-03-22,48
49,,,,49
50,2018-04-16,2018-07-09,2018-04-14,50
51,2018-03-23,2018-06-18,2018-03-19,51
52,,,,52
53,2018-03-16,2018-06-15,2018-03-13,53
54,2018-10-19,2019-03-07,2018-10-19,54
55,2018-05-05,2018-10-20,2018-05-02,55
56,2018-12-02,2019-01-21,2018-12-02,56
57,,,,57
58,2018-09-24,2019-03-10,2018-09-23,58
59,2018-12-24,2019-05-10,2018-12-20,59
60,2018-10-25,2019-03-17,2018-10-24,60
61,2018-05-29,2018-08-06,2018-05-25,61
62,2018-12-23,2019-02-26,2018-12-20,62
63,2018-08-16,2018-11-06,2018-08-14,63
64,,,,64
65,,,,65
66,2019-01-11,2019-05-22,2019-01-10,66
67,,,,67
68,2018-04-04,2018-06-14,2018-04-04,68
69,2018-03-09,2018-08-17,2018-03-05,69
70,2018-08-08,2018-11-21,2018-08-04,70
71,2018-10-19,2019-01-05,2018-10-18,71
72,,,,72
73,2018-05-16,2018-09-03,2018-05-14,73
74,,,,74
75,,,,75
76,2019-02-05,2019-06-08,2019-02-03,76
77,2018-08-06,2018-09-10,2018-08-05,77
78,2018-03-07,2018-04-12,2018-03-05,78
79,,,,79
80,,,,80
81,2018-05-06,2018-08-11,2018-05-06,81
82,2019-01-14,2019-04-27,2019-01-12,82
83,,,,83
84,,,,84
85,2019-01-11,2019-06-19,2019-01-08,85
86,2018-05-29,2018-11-13,2018-05-28,86
87,,,,87
88,,,,88
89,2018-08-02,2018-12-11,2018-07-29,89
90,2018-09-15,2019-02-20,2018-09-13,90
91,,,,91
92,,,,92
93,,,,93
94,2018-08-29,2018-11-13,2018-08-29,94
95,2018-12-05,2019-05-13,2018-12-04,95
96,2018-03-30,2018-05-08,2018-03-30,96
97,,,,97
98,,,,98
99,2022-04-25,2022-09-25,2022-04-22,99
100,2022-05-28,2022-08-27,2022-05-27,100
101,2022-04-23,2022-09-22,2022-04-20,101
102,2022-12-23,2023-02-15,2022-12-19,102
103,,,,103
104,2022-07-05,2022-10-15,2022-07-05,104
105,2022-12-07,2023-05-14,2022-12-04,105
106,,,,106
107,,,,107
108,,,,108
109,2022-09-11,2022-11-25,2022-09-11,109
110,2022-07-09,2022-10-21,2022-07-09,110
111,,,,111
112,2022-09-20,2022-12-16,2022-09-17,112
113,,,,113
114,2022-08-15,2022-10-31,2022-08-11,114
115,,,,115
116,2022-06-10,2022-09-21,2022-06-09,116
117,2022-08-06,2022-11-24,2022-08-04,117
118,,,,118
119,2022-09-28,2023-03-22,2022-09-26,119
120,,,,120
121,2022-09-22,2023-03-01,2022-09-19,121
122,,,,122
123,2022-11-11,2023-01-18,2022-11-08,123
124,2022-09-03,2022-10-31,2022-08-31,124
125,2022-05-28,2022-10-04,2022-05-26,125
126,2022-02-28,2022-08-03,2022-02-26,126
127,2022-04-24,2022-08-03,2022-04-23,127
128,2022-06-02,2022-07-22,2022-06-01,128
129,2022-09-18,2022-11-22,2022-09-14,129
130,,,,130
131,2022-07-26,2022-10-25,2022-07-23,131
132,2022-11-06,2023-02-11,2022-11-06,132
133,2023-01-22,2023-07-15,2023-01-19,133
134,2022-03-06,2022-05-28,2022-03-06,134
135,2022-08-28,2022-11-22,2022-08-28,135
136,2022-08-22,2022-10-03,2022-08-18,136
137,2022-08-08,2022-10-08,2022-08-04,137
138,2017-08-04,2017-09-27,2017-08-03,138
139,,,,139
140,2017-07-17,2017-11-22,2017-07-16,140
141,2017-07-22,2018-01-06,2017-07-22,141
142,,,,142
143,2017-12-28,2018-04-28,2017-12-24,143
144,,,,144
145,,,,145
146,,,,146
147,2017-10-05,2018-04-02,2017-10-01,147
148,,,,148
149,2017-06-07,2017-08-13,2017-06-07,149
150,2017-07-19,2017-09-20,2017-07-15,150
151,,,,151
152,,,,152
153,,,,153
154,2017-05-29,2017-07-19,2017-05-27,154
155,2017-07-02,2017-08-01,2017-07-01,155
156,,,,156
157,2017-04-29,2017-05-29,2017-04-25,157
158,2017-04-14,2017-09-06,2017-04-10,158
159,2017-06-02,2017-10-30,2017-06-01,159
160,2017-03-01,2017-06-20,2017-02-26,160
161,2018-01-26,2018-03-06,2018-01-26,161
162,2017-11-25,2018-01-01,2017-11-22,162
163,2017-03-18,2017-07-03,2017-03-14,163
164,2017-09-19,2018-02-27,2017-09-16,164
165,,,,165
166,,,,166
167,2017-12-07,2018-03-02,2017-12-05,167
168,2017-09-03,2017-12-19,2017-09-03,168
169,,,,169
170,2017-04-16,2017-07-21,2017-04-13,170
171,,,,171
172,,,,172
173,2017-03-20,2017-08-12,2017-03-17,173
174,,,,174
175,2017-10-06,2018-01-07,2017-10-05,175
176,,,,176
177,2023-03-14,2023-05-16,2023-03-10,177
178,2023-05-06,2023-10-18,2023-05-06,178
179,2024-01-14,2024-02-28,2024-01-10,179
180,2023-03-15,2023-05-25,2023-03-14,180
181,,,,181
182,2023-03-18,2023-06-27,2023-03-16,182
183,2023-11-03,2024-04-01,2023-11-01,183
184,,,,184
185,,,,185
186,2023-09-24,2023-11-24,2023-09-20,186
187,2023-09-06,2024-01-14,2023-09-04,187
188,,,,188
189,2024-01-25,2024-03-15,2024-01-24,189
190,,,,190
191,2023-04-01,2023-09-27,2023-03-29,191
192,,,,192
193,2023-07-05,2023-09-12,2023-07-01,193
194,2023-12-01,2024-03-11,2023-11-30,194
195,2023-08-14,2024-02-03,2023-08-12,195
196,,,,196
197,,,,197
198,2023-11-05,2024-04-05,2023-11-01,198
199,2023-11-05,2023-12-24,2023-11-01,199
200,,,,200
201,,,,201
202,,,,202
203,2023-06-12,2023-10-28,2023-06-09,203
204,2023-08-12,2024-02-03,2023-08-09,204
205,2023-09-26,2023-12-29,2023-09-23,205
206,,,,206
207,,,,207
208,2023-05-21,2023-09-25,2023-05-20,208
209,,,,209
210,2023-04-02,2023-07-29,2023-03-29,210
211,2023-05-24,2023-11-06,2023-05-21,211
212,2023-07-09,2023-11-13,2023-07-08,212
213,2023-04-21,2023-06-23,2023-04-21,213
214,2024-01-20,2024-05-23,2024-01-17,214
215,2023-06-08,2023-11-28,2023-06-08,215
216,2023-02-03,2023-05-05,2023-02-01,216
217,2023-05-18,2023-08-28,2023-05-15,217
218,2024-01-10,2024-02-14,2024-01-09,218
219,,,,219
220,,,,220
221,2022-08-31,2023-01-18,2022-08-27,221
222,,,,222
223,2022-05-03,2022-08-11,2022-05-02,223
224,,,,224
225,2023-01-28,2023-05-07,2023-01-28,225
226,,,,226
227,2022-03-30,2022-09-04,2022-03-26,227
228,2022-06-20,2022-08-12,2022-06-18,228
229,,,,229
230,,,,230
231,,,,231
232,2022-06-30,2022-07-30,2022-06-29,232
233,,,,233
234,,,,234
235,2022-02-28,2022-07-07,2022-02-24,235
236,,,,236
237,2022-10-10,2022-12-05,2022-10-09,237
238,,,,238
239,2022-02-04,2022-03-22,2022-01-31,239
240,2022-09-27,2023-01-09,2022-09-24,240
