0,2021-04-27,2021-08-17,2021-04-23,3
1,2021-05-30,2021-07-09,2021-05-27,5
2,2021-07-29,2021-08-31,2021-07-25,7
3,2021-11-04,2022-04-03,2021-10-31,10
4,2021-03-01,2021-04-29,2021-02-28,13
5,2021-07-07,2021-09-13,2021-07-05,15
6,2021-11-17,2022-02-13,2021-11-13,16
7,2021-08-16,2022-01-09,2021-08-15,20
8,2021-10-23,2022-01-12,2021-10-20,21
9,2021-03-19,2021-05-23,2021-03-18,23
10,2021-08-21,2022-02-04,2021-08-21,24
11,2021-05-28,2021-07-06,2021-05-24,28
12,2021-09-26,2022-01-18,2021-09-25,29
13,2021-11-15,2022-03-13,2021-11-15,30
14,2021-06-15,2021-11-30,2021-06-15,32
15,2021-12-12,2022-03-15,2021-12-10,34
16,2021-06-18,2021-11-29,2021-06-15,35
17,2022-01-23,2022-05-30,2022-01-20,36
18,2021-07-19,2021-12-04,2021-07-15,37
19,2021-11-30,2022-04-17,2021-11-28,38
20,2021-03-15,2021-08-21,2021-03-11,39
21,2021-03-07,2021-05-22,2021-03-06,40
22,2021-11-23,2022-03-20,2021-11-22,42
23,2021-11-29,2022-02-11,2021-11-25,45
24,2021-12-12,2022-05-26,2021-12-10,46
25,2021-10-31,2021-12-26,2021-10-27,47
26,2021-03-06,2021-07-23,2021-03-06,48
27,2018-04-27,2018-07-12,2018-04-23,50
28,2018-04-05,2018-07-18,2018-04-03,51
29,2018-03-06,2018-06-17,2018-03-05,53
30,2018-10-06,2018-11-25,2018-10-06,54
31,2018-05-02,2018-06-05,2018-05-02,55
32,2018-12-12,2019-03-21,2018-12-11,56
33,2018-09-24,2018-11-28,2018-09-22,58
34,2019-01-01,2019-06-04,2018-12-29,59
35,2018-11-04,2019-02-19,2018-11-04,60
36,2018-05-31,2018-11-06,2018-05-29,61
37,2018-12-11,2019-03-08,2018-12-07,62
38,2018-08-10,2018-12-03,2018-08-10,63
39,2019-01-04,2019-06-18,2018-12-31,66
40,2018-04-06,2018-06-20,2018-04-03,68
41,2018-03-13,2018-09-04,2018-03-11,69
42,2018-07-25,2018-12-21,2018-07-22,70
43,2018-10-30,2019-01-10,2018-10-30,71
44,2018-05-24,2018-09-11,2018-05-22,73
45,2019-02-02,2019-07-11,2019-02-02,76
46,2018-08-08,2018-09-17,2018-08-06,77
47,2018-03-06,2018-08-02,2018-03-05,78
48,2018-05-08,2018-06-26,2018-05-05,81
49,2019-01-15,2019-04-12,2019-01-14,82
50,2019-01-10,2019-05-25,2019-01-07,85
51,2018-06-05,2018-09-23,2018-06-03,86
52,2018-07-27,2018-08-31,2018-07-23,89
53,2018-09-20,2018-12-06,2018-09-20,90
