0,AliceBlue Aruba,599,2009-12-19,2025-11-08,36444
1,AntiqueWhite Aruba,558,2009-01-24,2029-03-07,48960
2,Aqua Aruba,438,2009-03-16,2024-05-25,602
3,Aquamarine Aruba,438,2005-04-16,2025-05-29,36911
4,Azure Aruba,203,2008-07-13,2024-09-07,29195
5,Beige Aruba,388,2006-06-03,2024-08-01,15389
6,Bisque Aruba,115,2008-08-20,2024-12-20,11697
7,Black Aruba,450,2006-06-12,2029-06-02,47616
8,BlanchedAlmond Aruba,189,2009-03-29,2025-09-20,157
9,Blue Aruba,393,2007-12-11,2024-10-09,34700
10,BlueViolet Aruba,103,2006-08-20,2027-10-18,28070
11,Brown Aruba,426,2005-07-03,2025-01-25,29824
12,BurlyWood Aruba,576,2008-03-06,2026-08-26,14738
13,CadetBlue Aruba,166,2006-05-29,2024-07-11,16631
14,Chartreuse Aruba,372,2009-06-08,2024-02-03,4047
15,Chocolate Aruba,478,2008-01-09,2025-02-10,2908
16,Coral Aruba,451,2009-06-17,2025-08-10,11138
17,CornflowerBlue Aruba,143,2005-01-07,2025-06-01,34483
18,Cornsilk Aruba,463,2007-02-17,2027-05-11,22352
19,Crimson Aruba,497,2007-12-02,2025-06-28,49203
20,Cyan Aruba,170,2006-01-01,2028-11-09,46797
21,DarkBlue Aruba,347,2006-12-30,2026-02-10,34517
22,DarkCyan Aruba,471,2005-08-22,2028-07-25,20043
23,DarkGoldenRod Aruba,185,2008-06-06,2024-12-03,28817
24,DarkGray Aruba,337,2008-04-16,2028-02-16,44357
25,DarkGrey Aruba,202,2007-04-02,2029-07-08,4455
26,DarkGreen Aruba,521,2008-02-26,2026-02-05,17102
27,DarkKhaki Aruba,265,2007-03-08,2025-01-20,5627
28,DarkMagenta Aruba,516,2009-10-25,2026-04-20,39117
29,DarkOliveGreen Aruba,191,2005-04-21,2027-03-17,43111
30,DarkOrange Aruba,206,2007-11-04,2024-11-29,33530
31,DarkOrchid Aruba,320,2007-10-23,2029-05-19,27389
32,DarkRed Aruba,543,2009-06-05,2024-06-29,23153
33,DarkSalmon Aruba,458,2006-10-30,2024-12-01,44328
34,DarkSeaGreen Aruba,321,2006-08-26,2025-04-01,42346
35,DarkSlateBlue Aruba,530,2006-09-20,2028-04-20,31632
36,DarkSlateGray Aruba,317,2008-10-26,2028-03-01,41248
37,DarkSlateGrey Aruba,116,2008-10-15,2028-10-15,34941
38,DarkTurquoise Aruba,218,2005-10-18,2025-03-30,39457
39,DarkViolet Aruba,104,2005-01-28,2028-07-08,7347
40,DeepPink Aruba,347,2007-02-02,2027-05-27,17296
41,DeepSkyBlue Aruba,169,2007-01-01,2027-08-16,14160
42,DimGray Aruba,276,2008-07-09,2027-12-24,6952
43,DimGrey Aruba,488,2005-07-26,2027-02-19,29365
44,DodgerBlue Aruba,413,2007-04-24,2028-08-05,31715
45,FireBrick Aruba,529,2006-10-23,2027-10-17,22333
46,FloralWhite Aruba,221,2009-10-22,2024-04-01,31829
47,ForestGreen Aruba,298,2007-03-03,2025-03-25,12931
48,Fuchsia Aruba,567,2006-05-11,2026-12-11,40389
49,Gainsboro Aruba,296,2008-08-01,2029-05-17,35292
50,GhostWhite Aruba,422,2005-04-23,2025-07-09,17287
51,Gold Aruba,219,2006-09-19,2029-08-30,36379
52,GoldenRod Aruba,461,2005-07-03,2024-09-01,45393
53,Gray Aruba,285,2008-09-03,2028-07-29,19521
54,Grey Aruba,340,2005-02-17,2024-12-31,21659
55,Green Aruba,438,2009-01-29,2027-03-14,36043
56,GreenYellow Aruba,406,2006-06-23,2025-06-24,20962
57,HoneyDew Aruba,367,2009-12-04,2027-12-04,38373
58,HotPink Aruba,241,2007-05-21,2029-04-01,8195
59,IndianRed Aruba,538,2006-04-22,2028-03-20,4263
60,Indigo Aruba,599,2006-08-27,2024-08-14,4284
61,Ivory Aruba,560,2007-02-25,2028-08-07,43932
62,Khaki Aruba,344,2008-08-08,2028-06-03,37461
63,Lavender Aruba,508,2005-04-12,2029-09-14,23067
64,LavenderBlush Aruba,422,2008-10-14,2029-07-23,38257
65,LawnGreen Aruba,443,2005-10-15,2025-05-01,44112
66,LemonChiffon Aruba,468,2005-12-17,2025-11-02,17132
67,LightBlue Aruba,509,2006-10-21,2027-01-02,25690
68,LightCoral Aruba,130,2007-06-03,2025-02-23,11874
69,LightCyan Aruba,567,2006-12-09,2028-03-19,35716
70,LightGoldenRodYellow Aruba,514,2008-12-26,2028-07-11,39980
71,LightGray Aruba,573,2009-01-10,2026-10-31,21513
72,LightGrey Aruba,209,2008-02-09,2028-05-12,136
73,LightGreen Aruba,348,2006-05-18,2028-05-11,22908
74,LightPink Aruba,455,2007-08-27,2024-11-17,36084
75,LightSalmon Aruba,194,2009-10-07,2029-04-15,5546
76,LightSeaGreen Aruba,518,2006-09-01,2024-02-15,38480
77,LightSkyBlue Aruba,545,2005-11-27,2029-05-31,10059
78,LightSlateGray Aruba,245,2006-08-01,2028-09-27,30526
79,LightSlateGrey Aruba,141,2009-02-28,2029-01-15,27190
80,LightSteelBlue Aruba,104,2006-03-16,2026-07-28,42092
81,LightYellow Aruba,570,2005-10-17,2025-05-07,46835
82,Lime Aruba,518,2009-03-21,2029-09-13,46773
83,LimeGreen Aruba,441,2005-07-28,2029-12-25,11804
84,Linen Aruba,210,2005-06-15,2025-05-15,8674
85,Magenta Aruba,133,2006-08-25,2029-02-07,7945
86,Maroon Aruba,311,2005-05-16,2029-08-21,44633
87,MediumAquaMarine Aruba,265,2006-10-30,2024-06-02,7719
88,MediumBlue Aruba,387,2005-10-18,2024-08-09,35189
89,MediumOrchid Aruba,380,2006-08-19,2029-11-14,21177
90,MediumPurple Aruba,115,2006-07-07,2025-01-22,3151
91,MediumSeaGreen Aruba,404,2007-09-09,2025-04-09,5552
92,MediumSlateBlue Aruba,327,2006-06-04,2027-02-16,14970
93,MediumSpringGreen Aruba,167,2006-06-27,2026-02-25,39629
94,MediumTurquoise Aruba,443,2007-09-08,2024-10-21,47730
95,MediumVioletRed Aruba,318,2005-02-19,2024-07-13,32360
96,MidnightBlue Aruba,511,2007-09-23,2027-09-13,31605
97,MintCream Aruba,555,2008-01-19,2029-08-28,2497
98,MistyRose Aruba,313,2007-12-15,2028-03-23,12439
99,Moccasin Aruba,125,2007-03-10,2024-11-18,41996
100,AliceBlue Afghanistan,455,2009-10-13,2024-01-03,887
101,AntiqueWhite Afghanistan,160,2008-03-11,2025-12-23,22483
102,Aqua Afghanistan,241,2006-05-31,2028-11-04,3743
103,Aquamarine Afghanistan,518,2005-10-19,2028-05-17,40141
104,Azure Afghanistan,520,2005-07-07,2024-03-03,2301
105,Beige Afghanistan,584,2005-05-10,2027-10-25,9844
106,Bisque Afghanistan,387,2007-12-30,2025-07-04,47476
107,Black Afghanistan,574,2008-01-04,2029-05-11,36708
108,BlanchedAlmond Afghanistan,459,2005-03-23,2024-03-27,17943
109,Blue Afghanistan,581,2009-07-13,2027-11-18,40574
110,BlueViolet Afghanistan,227,2007-11-20,2024-02-11,36592
111,Brown Afghanistan,230,2008-09-03,2024-08-19,17655
112,BurlyWood Afghanistan,304,2009-03-11,2025-05-10,2730
113,CadetBlue Afghanistan,174,2006-09-10,2024-08-04,9739
114,Chartreuse Afghanistan,513,2006-09-07,2024-10-16,8396
115,Chocolate Afghanistan,231,2009-11-10,2025-01-11,18181
116,Coral Afghanistan,157,2008-09-14,2028-02-07,10731
117,CornflowerBlue Afghanistan,558,2007-01-26,2028-04-05,14259
118,Cornsilk Afghanistan,317,2009-07-19,2027-02-25,3709
119,Crimson Afghanistan,364,2008-10-27,2029-12-27,14007
120,Cyan Afghanistan,139,2006-01-30,2029-07-01,41622
121,DarkBlue Afghanistan,486,2005-10-30,2029-05-23,22480
122,DarkCyan Afghanistan,380,2006-04-04,2024-10-17,36023
123,DarkGoldenRod Afghanistan,480,2005-09-24,2029-03-01,20717
124,DarkGray Afghanistan,267,2006-02-23,2028-10-10,21944
125,DarkGrey Afghanistan,387,2006-10-26,2024-02-18,14067
126,DarkGreen Afghanistan,258,2006-11-15,2028-02-06,11645
127,DarkKhaki Afghanistan,237,2006-08-10,2027-08-23,25226
128,DarkMagenta Afghanistan,542,2005-09-17,2026-12-28,11381
129,DarkOliveGreen Afghanistan,263,2008-10-14,2029-09-09,24795
130,DarkOrange Afghanistan,553,2008-10-26,2025-11-19,37156
131,DarkOrchid Afghanistan,230,2005-06-20,2028-04-27,15166
132,DarkRed Afghanistan,560,2009-02-03,2028-07-25,45137
133,DarkSalmon Afghanistan,536,2007-03-19,2025-04-07,30224
134,DarkSeaGreen Afghanistan,252,2008-04-14,2024-04-28,4687
135,DarkSlateBlue Afghanistan,126,2009-01-31,2029-03-30,26379
136,DarkSlateGray Afghanistan,143,2009-09-24,2024-04-24,17237
137,DarkSlateGrey Afghanistan,197,2008-01-07,2028-11-25,17797
138,DarkTurquoise Afghanistan,552,2005-09-15,2029-06-25,21406
139,DarkViolet Afghanistan,252,2007-04-30,2025-07-17,12348
140,DeepPink Afghanistan,159,2008-11-24,2028-01-20,14808
141,DeepSkyBlue Afghanistan,210,2009-07-02,2024-04-30,8749
142,DimGray Afghanistan,478,2006-01-10,2024-09-10,1016
143,DimGrey Afghanistan,111,2009-09-24,2027-12-24,25823
144,DodgerBlue Afghanistan,351,2005-11-18,2029-02-04,20513
145,FireBrick Afghanistan,271,2005-05-01,2028-12-27,16730
146,FloralWhite Afghanistan,187,2008-03-08,2024-04-04,48450
147,ForestGreen Afghanistan,524,2006-11-07,2025-04-28,6701
148,Fuchsia Afghanistan,140,2008-05-01,2025-12-31,47838
149,Gainsboro Afghanistan,412,2007-07-23,2026-02-18,27082
150,GhostWhite Afghanistan,247,2009-08-17,2025-06-07,42288
151,Gold Afghanistan,440,2009-09-14,2029-04-13,14238
152,GoldenRod Afghanistan,361,2006-10-03,2024-04-26,35982
153,Gray Afghanistan,277,2009-07-22,2027-03-14,23490
154,Grey Afghanistan,325,2007-07-06,2025-09-27,15299
155,Green Afghanistan,444,2009-03-22,2026-12-04,38241
156,GreenYellow Afghanistan,277,2009-03-27,2025-05-08,43837
157,HoneyDew Afghanistan,389,2008-03-20,2027-11-08,19926
158,HotPink Afghanistan,589,2009-01-05,2028-01-11,6043
159,IndianRed Afghanistan,485,2006-07-04,2026-03-16,47391
160,Indigo Afghanistan,494,2005-05-07,2026-03-20,30491
161,Ivory Afghanistan,404,2005-12-06,2025-09-27,32045
162,Khaki Afghanistan,431,2009-11-12,2028-12-14,8475
163,Lavender Afghanistan,306,2005-07-01,2027-11-30,29502
164,LavenderBlush Afghanistan,210,2008-11-27,2028-03-23,11696
165,LawnGreen Afghanistan,501,2005-05-15,2029-04-12,47019
166,LemonChiffon Afghanistan,310,2007-09-05,2025-11-18,8532
167,LightBlue Afghanistan,246,2009-07-04,2028-12-04,4241
168,LightCoral Afghanistan,505,2009-04-17,2027-10-06,45656
169,LightCyan Afghanistan,385,2005-03-09,2028-01-29,13534
170,LightGoldenRodYellow Afghanistan,480,2005-09-22,2025-04-15,6743
171,LightGray Afghanistan,365,2008-11-16,2028-04-14,785
172,LightGrey Afghanistan,542,2005-10-05,2026-04-28,49645
173,LightGreen Afghanistan,453,2007-05-23,2024-03-24,37492
174,LightPink Afghanistan,465,2009-05-19,2024-07-27,33031
175,LightSalmon Afghanistan,373,2007-06-13,2026-10-04,28076
176,LightSeaGreen Afghanistan,449,2009-08-05,2026-10-08,21058
