0,2010,90,Emotional Intelligence
1,2011,190,Emotional Intelligence
2,2012,50,Entrepreneurship
3,2013,140,Media Literacy
4,2014,30,Media Literacy
5,2015,75,Computer Programming
6,2016,130,Computer Programming
7,2017,190,Media Literacy
8,2018,160,Financial Literacy
9,2019,55,Public Speaking
10,2020,90,Computer Programming
11,2021,60,Environmental Science
12,2022,115,Computer Programming
13,2023,45,Environmental Science
14,2010,140,Creative Writing
15,2011,40,Public Speaking
16,2012,155,Emotional Intelligence
17,2013,95,Media Literacy
18,2014,100,Computer Programming
19,2015,85,Media Literacy
20,2016,120,Global Studies
21,2017,160,Media Literacy
22,2018,115,Computer Programming
23,2019,175,Creative Writing
24,2020,45,Philosophy
25,2021,60,Philosophy
26,2022,165,Public Speaking
27,2023,170,Entrepreneurship
28,2010,190,Emotional Intelligence
29,2011,190,Public Speaking
30,2012,105,Entrepreneurship
31,2013,150,Creative Writing
32,2014,105,Computer Programming
33,2015,115,Global Studies
34,2016,60,Philosophy
35,2017,130,Financial Literacy
36,2018,120,Global Studies
37,2019,160,Computer Programming
38,2020,175,Financial Literacy
39,2021,110,Media Literacy
40,2022,50,Financial Literacy
41,2023,75,Creative Writing
42,2010,55,Global Studies
43,2011,180,Creative Writing
44,2012,140,Emotional Intelligence
45,2013,130,Global Studies
46,2014,40,Entrepreneurship
47,2015,70,Philosophy
48,2016,130,Philosophy
49,2017,30,Emotional Intelligence
50,2018,95,Emotional Intelligence
51,2019,175,Philosophy
52,2020,75,Computer Programming
53,2021,40,Financial Literacy
54,2022,60,Emotional Intelligence
55,2023,190,Entrepreneurship
56,2010,155,Computer Programming
57,2011,85,Public Speaking
58,2012,70,Global Studies
59,2013,115,Public Speaking
60,2014,125,Public Speaking
61,2015,150,Emotional Intelligence
62,2016,70,Public Speaking
63,2017,35,Media Literacy
64,2018,180,Emotional Intelligence
65,2019,160,Creative Writing
66,2020,40,Computer Programming
67,2021,165,Philosophy
68,2022,45,Creative Writing
69,2023,25,Financial Literacy
70,2010,135,Computer Programming
71,2011,130,Media Literacy
72,2012,145,Computer Programming
73,2013,135,Global Studies
74,2014,70,Financial Literacy
75,2015,30,Entrepreneurship
76,2016,70,Creative Writing
77,2017,185,Public Speaking
78,2018,160,Public Speaking
79,2019,135,Public Speaking
80,2020,35,Philosophy
81,2021,85,Computer Programming
82,2022,180,Global Studies
83,2023,160,Public Speaking
84,2010,190,Entrepreneurship
85,2011,105,Philosophy
86,2012,110,Philosophy
87,2013,110,Financial Literacy
88,2014,155,Environmental Science
89,2015,105,Computer Programming
90,2016,35,Financial Literacy
91,2017,180,Creative Writing
92,2018,120,Financial Literacy
93,2019,90,Media Literacy
94,2020,195,Financial Literacy
95,2021,25,Financial Literacy
96,2022,110,Financial Literacy
97,2023,45,Global Studies
98,2010,190,Environmental Science
99,2011,80,Emotional Intelligence
100,2012,125,Entrepreneurship
